0	21	interview	Interview						
1	51	prize	Preisgeld						
2	77	China	China						
3	80	trade	Handel						
4	86	side	Seite						
5	87	budgetary deficit	Haushaltsdefizit						
6	88	side	Seite	solution	Lösung				
7	113	forced prostitution	Zwangsprostitution						
8	127	Upper Palatinate	Oberpfalz						
9	128	Swabia	Schwaben						
10	146	request	Antrag						
11	157	repeatedly	wiederholt						
12	168	opinion	Meinung						
13	177	month	Monat						
14	189	bonus	Bonus						
15	191	summit	Gipfeltreffen						
16	193	Syria	Syrien						
17	196	consensus	Konsens	Syria	Syrien				
18	204	sponsorship	Sponsoring	sport	Sport				
19	215	sponsorship	Sponsoring	sponsorship	Sponsoring				
20	223	night	Nacht						
21	232	victories	Siege						
22	235	strong	stark						
23	236	charisma	Charisma						
24	244	strength	Stärke						
25	251	deputy	Stellvertreter						
26	253	capital	Hauptstadt	Moscow State Institute of International Relations	MGIMO	Tokyo	Tokyo	embassy	Botschaft
27	267	conversation	Gespräch						
28	272	Federal Security Service	FSB	deputy	Stellvertreter				
29	278	month	Monat						
30	279	series	Serie						
31	281	disagreement	Meinungsverschiedenheit						
32	295	bridge	Brücke						
33	296	bridge	Brücke						
34	300	bridge	Brücke						
35	301	building	Bau						
36	302	bridge	Brücke						
37	303	bridge	Brücke	bridge	Brücke				
38	304	bridge	Brücke	bridge	Brücke				
39	305	bridge	Bridge						
40	315	BST	BST						
41	316	safety	Sicherheit						
42	319	buoy	Boje						
43	330	perpetrator	Täter						
44	337	side	Seite						
45	345	designate	ausweisen						
46	351	CDU	CDU						
47	353	housing market	Wohnungsmarkt						
48	367	target	Ziel						
49	370	CDU	CDU						
50	385	generation	Generation						
51	389	public health	Gesundheit	public health	Gesundheit				
52	401	subside	nachlassen						
53	402	virtual reality	virtuelle Realität						
54	404	gold	Gold						
55	406	hype	Hype						
56	407	immune	immun						
57	415	Brazil	Brasilien						
58	416	generation	Generation						
59	420	Brazil	Brasilien						
60	421	Texas	Texas						
61	422	gold	Gold	Brazil	Brasilien				
62	452	microcephaly	Mikrozephalie						
63	454	microcephaly	Mikrozephalie						
64	469	sign	Zeichen						
65	483	state of emergency	Notstand						
66	496	stepson	Stiefsohn						
67	498	stepson	Stiefsohn						
68	549	presence	Anwesenheit						
69	554	performances	Leistung						
70	555	gold	Gold						
71	560	sport	Sport						
72	568	strength	Stärke						
73	571	sport	Sport						
74	578	night	Nacht						
75	581	month	Monat						
76	590	sign	Zeichen						
77	608	safety	Sicherheit						
78	610	office	Amt						
79	616	vote	Wahlstimme						
80	623	campaign	Kampagne						
81	632	options	Optionen						
82	640	requirement	Anforderung						
83	644	series	Reihe						
84	650	gold	Gold						
85	658	actor	Schauspieler						
86	662	comparison	Vergleich	actor	Schauspieler				
87	663	skin	Haut						
88	670	died	gestorben						
89	677	China	China						
90	678	tone	Ton						
91	679	China	China	died	gestorben				
92	681	China	China	China	China				
93	693	night	Nacht						
94	707	pair	Paar						
95	715	pair	Paar						
96	723	forearm	Vorderarm						
97	724	knee	Knie						
98	730	tongue	Zunge						
99	732	strength	Widerstandsfähigkeit						
100	736	trip	Reise						
101	743	units	Einheiten						
102	744	comparison	Vergleich						
103	745	units	Einheiten						
104	756	environment	Kontext						
105	764	damage	Schaden						
106	769	housing	Wohnung						
107	788	side	Seite						
108	796	cash	Bargeld						
109	802	warning	Warnung						
110	817	safety	Sicherheit						
111	818	parts	Teile	Madeira	Madeira				
112	819	fog	Nebel						
113	824	Brazil	Brasilien						
114	826	knee	Knie						
115	831	Madrid	Madrid						
116	836	World Championship	WM						
117	854	election campaign	Wahlkampf						
118	856	election campaign	Wahlkampagne						
119	866	interview	Interview						
120	867	holiday	Urlaub						
121	882	sample	Probe						
122	884	Beijing	Peking						
123	890	Brazil	Brasilien						
124	894	Beijing	Peking						
125	895	series	Reihe						
126	929	Syria	Syrien						
127	930	Syria	Syrien						
128	931	Syria	Syrien						
129	932	air strike	Luftangriff						
130	936	Syria	Syrien						
131	938	Judge	Richter						
132	939	Republicans	Die Republikaner						
133	949	generation	Generation						
134	968	minority	Minderheit						
135	985	holiday	Urlaub						
136	990	Prime Minister	Ministerpräsident						
137	991	CDU	CDU						
