0	21	interview	Interview						
1	51	prize	Preisgeld						
2	52	US	US						
3	54	sport	Sport						
4	58	trade	Handel						
5	59	US	US						
6	74	coal	Kohle						
7	77	China	China						
8	78	trade	Handel						
9	79	trade	Handel						
10	80	trade	Handel						
11	82	US	US						
12	86	side	Seite						
13	87	budgetary deficit	Haushaltsdefizit						
14	88	side	Seite	solution	Lösung				
15	113	forced marriage	Zwangsehe	forced prostitution	Zwangsprostitution				
16	127	Upper Palatinate	Oberpfalz						
17	128	Swabia	Schwaben						
18	146	request	Antrag						
19	157	repeatedly	wiederholt						
20	168	opinion	Meinung						
21	171	Syria	Syrien						
22	177	month	Monat						
23	189	bonus	Bonus						
24	191	summit	Gipfeltreffen						
25	193	Syria	Syrien						
26	196	consensus	Konsens	Syria	Syrien				
27	204	sponsorship	Sponsoring	sport	Sport				
28	207	stock exchange	Börse						
29	215	sponsorship	Sponsoring	sponsorship	Sponsoring				
30	223	night	Nacht						
31	232	victories	Siege						
32	235	strong	stark						
33	236	charisma	Charisma	sport	Sport				
34	244	strength	Stärke						
35	251	deputy	Stellvertreter						
36	253	capital	Hauptstadt	Moscow State Institute of International Relations	MGIMO	Tokyo embassy	Tokyo Botschaft		
37	267	conversation	Gespräch						
38	272	Federal Security Service	FSB	deputy	Stellvertreter				
39	278	month	Monat						
40	279	series	Serie	joint	gemeinsam				
41	281	disagreement	Meinungsverschiedenheit						
42	291	sand	Sand						
43	295	bridge	Brücke						
44	296	bridge	Brücke						
45	297	bridge	Brücke						
46	300	bridge	Brücke						
47	301	building	Bau						
48	302	bridge	Brücke						
49	303	bridge	Brücke	bridge	Brücke				
50	304	bridge	Brücke	bridge	Brücke				
51	305	bridge	Bridge						
52	315	BST	BST						
53	316	safety	Sicherheit						
54	318	strong	stark						
55	319	buoy	Boje						
56	330	perpetrator	Täter						
57	337	side	Seite						
58	338	housing	Wohnung						
59	345	designate	ausweisen	housing	Wohnung				
60	348	housing	Wohnung						
61	351	CDU	CDU						
62	353	housing market	Wohnungsmarkt						
63	354	building	Bau						
64	365	housing	Wohnung						
65	366	housing	Wohnung						
66	367	target	Ziel						
67	370	CDU	CDU						
68	371	building	Bau						
69	380	US	US						
70	385	generation	Generation						
71	386	US	US						
72	389	public health	Gesundheit	public health	Gesundheit				
73	394	fresh	frisch						
74	401	subside	nachlassen						
75	402	virtual reality	virtuelle Realität						
76	404	gold	Gold						
77	406	hype	Hype						
78	407	immune	immun						
79	415	Brazil	Brasilien						
80	416	generation	Generation						
81	419	sport	Sport	gold	Gold				
82	420	Brazil	Brasilien						
83	421	Texas	Texas						
84	422	gold	Gold	Brazil	Brasilien				
85	432	red	rot						
86	452	microcephaly	Mikrozephalie						
87	454	microcephaly	Mikrozephalie						
88	467	sign	Zeichen						
89	468	sign	Zeichen						
90	469	sign	Zeichen						
91	483	state of emergency	Notstand						
92	496	stepson	Stiefsohn						
93	498	stepson	Stiefsohn						
94	549	presence	Anwesenheit	sport	Sport				
95	554	performances	Leistung						
96	555	gold	Gold						
97	557	sport	Sport						
98	560	sport	Sport						
99	567	sport	Sport						
100	568	strength	Stärke						
101	571	sport	Sport						
102	573	strong	stark						
103	578	night	Nacht						
104	579	progress	Fortschritt						
105	581	month	Monat						
106	590	sign	Zeichen						
107	598	material	Material						
108	602	trade	Handel						
109	604	health technology	Gesundheitstechnologie						
110	608	safety	Sicherheit						
111	610	office	Amt						
112	616	vote	Wahlstimme						
113	621	office	Amt						
114	623	campaign	Kampagne						
115	632	options	Optionen						
116	640	requirement	Anforderung						
117	644	series	Reihe						
118	650	gold	Gold						
119	658	actor	Schauspieler						
120	661	actor	Schauspieler						
121	662	comparison	Vergleich	actor	Schauspieler				
122	663	skin	Haut						
123	666	pair	Paar						
124	669	gold	Gold						
125	670	died	gestorben						
126	677	China	China						
127	678	tone	Ton						
128	679	China	China	died	gestorben				
129	681	China	China	China	China				
130	693	night	Nacht						
131	707	pair	Paar						
132	715	pair	Paar						
133	723	forearm	Vorderarm						
134	724	knee	Knie						
135	730	tongue	Zunge	travel	Reisen				
136	732	strength	Widerstand						
137	733	object	Objekt						
138	736	trip	Reise						
139	743	sample	Probe	units	Einheiten				
